Brand,Screen_Size,RAM,Processor,GPU,Price,,
Dell,13.3,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,399.99,,
HP,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,430.99,,
Dell,14,16,Intel Core i7 10th Gen.,,469.06,,
Lenovo,15.6,32,AMD Ryzen 5 5000 Series,NVIDIA GeForce RTX 3050 Ti,599.98,,
HP,16,16,Intel Core i7 12th Gen.,NVIDIA RTX A1000,989.99,,
Samsung,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,489.99,,
Dell,14,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,317.77,,
Lenovo,14,16gb,Intel Core i7 8th Gen.,Intel UHD Graphics 620,379.99,,
LG,17,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,699.99,,
HP,14,32,AMD Ryzen 7 7000 Series,,694.99,,
Lenovo,14,16,Intel Core i7 13th Gen.,Intel UHD Graphics,739.99,,
Dell,14,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,359.99,,
Lenovo,14,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,747.12,,
Dell,13.3,16,Intel Core i7 11th Gen.,NVIDIA GeForce MX450,635.4,,
Lenovo,15.6,8,Intel Core i7 8th Gen.,NVIDIA QUADRO P500,299.99,,
Lenovo,14,40,Intel Core i7 8th Gen.,Intel UHD Graphics 620,429.99,,
Microsoft,14,16,Intel Core i7 11th Gen.,NVIDIA GeForce RTX 3050 Ti Laptop GPU,832.99,,
Lenovo,16,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,649.99,,
HP,15.6,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,325,,
Lenovo,13.3,8,Intel Core i5 10th Gen.,Intel Iris Xe Graphics,269.95,,
HP,15.6,8,Intel Core i5 12th Gen.,NVIDIA GeForce GTX 1650,599.99,,
Acer,14,8,Intel Core i3 12th Gen.,Intel Iris Xe Graphics,368.95,,
Dell,16,32,Intel Core i7 13th Gen.,INVIDIA RTX A1000,830,,
Dell,14,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,544.99,,
Dell,14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,289.99,,
Lenovo,16,8,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,544,,
Samsung,13.3,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,569.99,,
